observer,oc,oceu,ocel,date,source
"Eduardo fernández-lajús, romina p. di sisto",-0.576,0.5184,0.5184,2014-08-04 16:34:26.112000256,ETD
Francisco josé fernández gómez,-8.64,,,2014-07-30 10:56:38.399999744,ETD
Polák j.,-6.336,1.0656,1.0656,2014-07-23 11:39:15.840000000,ETD
Garlitz j.,-1.728,0.7488,0.7488,2014-07-07 19:14:34.655999744,ETD
Garlitz j.,-4.32,0.8496,0.8496,2014-06-30 19:52:16.607999744,ETD
Garlitz j.,-2.016,0.7488,0.7488,2013-09-19 17:18:19.584000256,ETD
Benishek v.,2.736,0.7344,0.7344,2013-08-12 09:04:59.808000256,ETD
Benni p.,-3.456,0.9792,0.9792,2013-08-10 15:08:51.360000000,ETD
Carreño a.,0.288,1.0368,1.0368,2013-07-15 11:43:55.775999744,ETD
Zibar m.,-0.432,1.008,1.008,2013-07-15 11:43:06.528000256,ETD
Koch  b.,-1.296,1.2096,1.2096,2013-07-15 11:42:16.416000256,ETD
Alonso e. d.,-1.44,2.2464,2.2464,2013-07-08 12:22:26.112000000,ETD
Benni p.,-1.008,0.936,0.936,2013-07-06 18:33:02.016000256,ETD
Büchner a.,-1.008,1.1664,1.1664,2012-10-11 08:25:57.504000000,ETD
Ayiomamitis a.,-1.584,0.7776,0.7776,2012-07-28 09:39:00.576000256,ETD
Sauer t.,-10.8,0.432,0.432,2012-07-28 09:29:51.071999744,ETD
Marino g.,-0.432,0.6336,0.6336,2012-07-21 10:20:36.671999744,ETD
Wilkin f.,-2.88,0.7488,0.7488,2012-07-05 17:48:47.808000000,ETD
Stan shadick,-1.728,0.5184,0.5184,2011-08-28 17:55:09.695999744,ETD
Herrero e.,-3.312,0.8064,0.8064,2011-06-30 11:36:22.176000256,ETD
Shadic s.,-9.936,3.456,3.456,2011-05-31 20:21:09.792000000,ETD
Garlitz j.,3.312,0.936,0.936,2010-09-03 16:37:33.600000256,ETD
Vanhuysse  m.,-7.344,0.504,0.504,2010-08-29 10:57:02.591999744,ETD
Shadick s.,-1.152,1.1808,1.1808,2010-08-27 17:13:21.504000000,ETD
"Fernandez-lajus e., miguel y., fortier a., di sisto r. ",-0.0,0.4176,0.4176,2010-08-15 12:25:05.952000000,ETD
Shadick s.,-1.44,1.4832,1.4832,2010-07-30 19:54:27.935999744,ETD
Hose k.,-2.736,0.648,0.648,2010-07-23 20:33:26.784000000,ETD
Lopresti c.,-2.592,2.2464,2.2464,2010-07-13 09:34:07.679999744,ETD
Scarmato t.,-8.496,3.1392,3.1392,2010-07-13 09:28:11.712000000,ETD
Latham c.,-7.344,1.1952,1.1952,2009-09-16 14:23:54.816000000,ETD
Littlefield,-2.88,1.152,1.152,2009-09-02 15:48:57.600000000,ETD
Srdoc,-6.192,1.872,1.872,2009-08-28 10:16:01.919999744,ETD
Teyssier f.,-2.736,1.08,1.08,2009-08-21 10:59:44.160000000,ETD
Naves,-2.448,0.864,0.864,2009-08-14 11:40:24.960000256,ETD
