observer,oc,oceu,ocel,date,source
Siverd et al. 2012,0.5,0.6,0.6,2012-01-06 15:26:10.910328576,ExoClock literature
Ulmo,0.576,0.5832,0.5832,2011-12-31 13:20:15.936000256,ETD
Siverd et al. 2012,0.5,0.6,0.6,2011-12-31 13:20:13.506621184,ExoClock literature
Flwo,-3.456,0.6322,0.6322,2011-12-15 17:24:45.792000256,ETD
Siverd et al. 2012,-3.5,0.6,0.6,2011-12-15 17:24:44.257060352,ExoClock literature
Maciejewski et al. 2018,-0.1,0.4,0.4,2011-12-13 07:01:45.295573248,ExoClock literature
Siverd et al. 2012,-2.7,1.2,1.2,2011-12-09 15:19:34.853373952,ExoClock literature
Hao,-2.736,1.1952,1.1952,2011-12-09 15:19:34.176000256,ETD
Siverd et al. 2012,2.9,1.4,1.4,2011-12-03 13:19:13.449694720,ExoClock literature
Pvdko,2.88,1.44,1.44,2011-12-03 13:19:09.407999744,ETD
Ulmo,1.584,0.6048,0.6048,2011-12-03 13:17:51.647999744,ETD
Siverd et al. 2012,1.5,0.6,0.6,2011-12-03 13:17:49.449707776,ExoClock literature
