observer,oc,oceu,ocel,date,source
Pere Guerra,-3.2,1.7,1.7,2019-05-13 11:30:03.759330560,ExoClock observation
Pere guerra,-5.904,1.656,1.656,2019-05-13 11:27:25.631999744,ETD
"Francesco scaggiante, danilo zardin",-0.144,1.224,1.224,2019-05-01 12:53:18.528000256,ETD
Manfred raetz,-2.304,1.0368,1.0368,2019-05-01 12:51:13.248000000,ETD
Yves Jongen,3.9,1.7,1.7,2019-04-19 14:17:40.127998976,ExoClock observation
Yves jongen,2.16,1.728,1.728,2019-04-19 14:15:57.023999744,ETD
Anael wunsche,-1.872,2.2896,2.2896,2019-04-19 14:11:50.784000000,ETD
Anaël Wünsche,-2.9,2.3,2.3,2019-04-19 14:10:52.127998976,ExoClock observation
Veli-pekka hentunen,-9.072,0.9504,0.9504,2019-04-02 12:33:40.896000256,ETD
"Francesco scaggiante, danilo zardin",2.88,1.296,1.296,2019-03-28 09:54:19.008000000,ETD
Mario Morales Aimar,1.6,2.4,2.4,2019-03-28 09:52:58.898871040,ExoClock observation
Yves Jongen,0.5,1.2,1.2,2019-03-28 09:51:52.898866944,ExoClock observation
Yves jongen,0.144,1.152,1.152,2019-03-28 09:51:30.528000256,ETD
Americo watkins,-0.0,1.3392,1.3392,2019-03-28 09:51:19.296000256,ETD
Pere guerra,-0.144,1.1952,1.1952,2019-03-28 09:51:14.112000256,ETD
"Friedli, thomas karl + kropf, simon",-1.008,,,2019-03-28 09:50:24.000000256,ETD
Tg tan,-1.296,1.5696,1.5696,2019-03-28 09:50:02.400000000,ETD
Anaël Wünsche,-2.3,0.4,0.4,2019-03-28 09:49:04.898852608,ExoClock observation
Mario morales,-2.592,2.16,2.16,2019-03-28 09:48:45.504000256,ETD
Anael wunsche,-3.744,0.4608,0.4608,2019-03-28 09:47:37.247999744,ETD
Yves Jongen,2.6,1.3,1.3,2019-03-21 14:05:33.289897472,ExoClock observation
Manfred raetz,1.728,2.0016,2.0016,2019-03-21 14:04:39.648000000,ETD
Yves jongen,0.72,1.152,1.152,2019-03-21 14:03:40.032000000,ETD
Anaël Wünsche,-0.1,1.0,1.0,2019-03-21 14:02:51.289891072,ExoClock observation
Anael wunsche,-0.864,0.936,0.936,2019-03-21 14:02:06.719999744,ETD
Pere guerra,-2.448,0.9792,0.9792,2019-03-21 14:00:27.360000000,ETD
Anaël Wünsche,-3.6,1.9,1.9,2019-03-21 13:59:21.289903616,ExoClock observation
Anael wunsche,-5.328,1.5696,1.5696,2019-03-21 13:57:40.608000256,ETD
Joe garlitz,2.592,1.9872,1.9872,2019-03-19 21:08:28.031999744,ETD
Jean plazas,-27.936,1.8576,1.8576,2019-03-16 10:43:39.935999744,ETD
Yves Jongen,3.4,1.2,1.2,2019-03-11 08:23:42.876504064,ExoClock observation
Yves jongen,1.728,1.3536,1.3536,2019-03-11 08:21:59.039999744,ETD
Paul benni,-0.72,2.2752,2.2752,2017-06-02 15:36:06.048000256,ETD
Burdanov et al. 2018,-0.8,1.1,1.1,2016-04-29 08:53:06.303350272,ExoClock literature
Paul benni,-4.464,1.7424,1.7424,2016-01-19 16:40:06.527999744,ETD
