Object,Const,Time span from,Time span till,Time span from - till,Last changes (days)red if less than 1 week ago
Wasp-45 b,Scl,16,2010-09,2021-10,10. dec 2021  (130)
Wasp-46 b,Ind,52,2010-07,2021-10,10. dec 2021  (130)
Wasp-47 b,Aqr,8,2015-09,2021-10,10. dec 2021  (130)
Wasp-48 b,Cyg,106,2010-06,2021-12,07. jan 2022  (101)
Wasp-49 b,Lep,7,2011-01,2021-11,10. dec 2021  (130)
Wasp-5 b,Phe,42,2006-07,2021-11,10. dec 2021  (130)
Wasp-50 b,Eri,72,2010-12,2021-12,14. feb 2022  (64)
Wasp-52 b,Peg,156,2012-12,2021-11,14. feb 2022  (64)
Wasp-54 b,Vir,4,2010-11,2021-04,09. apr 2021  (374)
Wasp-55 b,Vir,6,2014-04,2022-03,15. mar 2022  (34)
Wasp-56 b,Com,19,2014-03,2022-03,15. mar 2022  (34)
Wasp-57 b,Lib,21,2014-03,2021-04,17. may 2021  (337)
Wasp-58 b,Lyr,24,2013-07,2021-08,07. jan 2022  (101)
Wasp-59 b,Peg,30,2013-09,2021-11,10. dec 2021  (130)
Wasp-6 b,Aqr,24,2008-05,2021-11,10. dec 2021  (130)
Wasp-60 b,Peg,26,2013-09,2021-08,10. dec 2021  (130)
Wasp-61 b,Lep,7,2014-10,2021-10,10. dec 2021  (130)
Wasp-62 b,Dor,8,2011-10,2022-02,15. mar 2022  (34)
Wasp-63 b,Col,5,2011-12,2021-11,10. dec 2021  (130)
Wasp-64 b,Cma,20,2014-01,2022-02,14. feb 2022  (64)
Wasp-65 b,Cnc,47,2014-02,2021-04,17. may 2021  (337)
Wasp-66 b,Ant,4,2012-01,2021-04,17. may 2021  (337)
Wasp-67 b,Sgr,10,2014-05,2021-06,26. jun 2021  (297)
Wasp-68 b,Cap,4,2012-05,2021-08,16. sep 2021  (214)
Wasp-69 b,Aqr,17,2015-07,2021-07,16. sep 2021  (214)
Wasp-7 b,Mic,6,2006-09,2021-10,10. dec 2021  (130)
Wasp-70a b,Aqr,2,2014-09,2014-09,30. oct 2014  (2728)
Wasp-71 b,Cet,3,2012-12,2021-10,10. dec 2021  (130)
Wasp-72 b,For,4,2011-01,2021-10,10. dec 2021  (130)
Wasp-73 b,Ind,1,2012-07,2012-07,28. oct 2015  (2365)
Wasp-74 b,Aql,22,2015-07,2020-09,28. sep 2020  (568)
Wasp-75 b,Aqr,26,2014-10,2021-10,10. dec 2021  (130)
Wasp-76 b,Psc,25,2013-12,2021-11,14. feb 2022  (64)
Wasp-77 b,Cet,37,2013-08,2021-12,14. feb 2022  (64)
Wasp-78 b,Eri,4,2011-11,2020-12,07. feb 2021  (435)
Wasp-79 b,Eri,4,2010-12,2020-12,03. dec 2020  (501)
Wasp-8 b,Scl,3,2008-07,2021-08,16. sep 2021  (214)
Wasp-80 b,Aql,59,2014-06,2021-10,10. dec 2021  (130)
Wasp-82 b,Ori,5,2013-12,2016-12,11. dec 2018  (1225)
Wasp-83 b,Crv,6,2012-01,2021-02,27. feb 2021  (416)
Wasp-84 b,Hya,15,2012-12,2022-03,15. mar 2022  (34)
Wasp-85a b,Vir,37,2015-02,2022-02,15. mar 2022  (34)
Wasp-86/kelt-12 b,Her,2,2015-03,2019-06,26. jun 2019  (1028)
Wasp-87 b,Cen,3,2013-03,2022-03,15. mar 2022  (34)
Wasp-88 b,Ind,2,2013-07,2020-07,26. aug 2020  (601)
Wasp-89 b,Cap,10,2012-10,2021-09,16. sep 2021  (214)
Wasp-90 b,Equ,11,2014-08,2021-07,16. sep 2021  (214)
Wasp-91 b,Tuc,4,2013-01,2021-12,07. jan 2022  (101)
Wasp-92 b,Her,37,2013-03,2021-06,10. dec 2021  (130)
Wasp-93 b,Cas,63,2012-06,2021-10,07. jan 2022  (101)
Wasp-94a b,Mic,4,2013-05,2021-10,10. dec 2021  (130)
Wasp-95 b,Gru,5,2014-10,2021-09,10. dec 2021  (130)
Wasp-95 b,,0,,,
Wasp-96 b,Gru,7,2012-11,2021-10,10. dec 2021  (130)
Wasp-97 b,Tuc,13,2014-09,2021-11,10. dec 2021  (130)
Wasp-98 b,Eri,10,2014-09,2021-12,10. dec 2021  (130)
