name,priority,total_observations,recent_observations,ra_j2000,dec_j2000,v_mag,r_mag,gaia_g_mag,depth_mmag,duration_hours,t0_bjd_tdb,t0_unc,period_days,period_unc,current_oc_min,min_telescope_inches,expected_transit_snr_tess
WASP-49b,low,8,3,06:04:21.4734,-16:57:55.108,11.35,11.057,11.291,14.42,2.16,2456198.14045,0.00014,2.7817366,5e-07,-0.4,5.0,37.07
WASP-50b,low,21,6,02:54:45.1342,-10:53:53.026,11.44,11.599,11.552,22.62,1.81,2457701.39451,0.00023,1.9550928,3e-07,0.27,5.0,45.94
WASP-52b,low,42,7,23:13:58.7575,+08:45:40.571,12.0,12.03,11.954,33.05,1.82,2456770.05972,4e-05,1.74978119,1e-07,0.7,5.46,55.09
WASP-53b,low,5,2,02:07:38.2093,-20:39:42.761,12.6,12.44,12.347,22.72,2.26,2456284.48161,0.00015,3.3098436,5e-07,-0.0,6.39,33.84
WASP-54b,alert,2,1,13:41:49.0301,-00:07:41.033,10.41,10.0,10.244,10.73,4.47,2455522.0445,0.0008,3.693649,1.3e-05,-72.9,5.0,63.79
WASP-55b,low,4,1,13:35:01.9537,-17:30:12.526,11.75,11.555,11.775,20.5,3.56,2456720.37845,0.0001,4.4656299,8e-07,-0.4,5.0,48.47
WASP-56b,low,11,2,12:13:27.8908,+23:03:20.429,11.48,10.7,12.003,13.44,3.63,2455841.60939,0.00023,4.6170654,2.1e-06,-5.6,5.0,28.69
WASP-57b,low,10,3,14:55:16.8228,-02:03:27.599,13.04,12.9,12.729,16.71,2.33,2456433.2863,0.0001,2.838918,6e-07,-0.5,7.86,18.74
WASP-58b,low,6,0,18:18:48.2530,+45:10:19.259,11.66,11.423,11.635,18.14,3.8,2457692.5406,0.0004,5.0172137,1.6e-06,-0.4,5.0,47.83
WASP-59b,high,3,2,23:18:29.5475,+24:53:21.436,12.78,12.37,12.314,23.25,2.47,2455830.95634,0.00053,7.919585,1e-05,2.7,6.21,40.19
WASP-60b,low,6,0,23:46:39.9747,+31:09:21.372,12.18,11.792,12.02,7.61,3.34,2458902.6003,0.0006,4.305007,3e-06,-0.5,9.49,15.5
WASP-61b,medium,5,1,05:01:11.9187,-26:03:14.966,12.49,11.879,12.07,11.56,4.06,2456152.57714,0.00023,3.855898,1e-06,-1.9,6.2,23.54
WASP-62b,medium,6,1,05:48:33.5937,-63:59:18.386,10.21,9.93,10.072,15.92,3.81,2458427.55327,4e-05,4.4119395,4e-07,-1.0,5.0,94.07
WASP-63b,medium,3,1,06:17:20.7486,-38:19:23.754,11.15,10.684,10.919,8.06,5.43,2455921.6535,0.0005,4.37809,6e-06,-9.2,6.53,38.95
WASP-64b,low,15,3,06:44:27.6052,-32:51:30.178,12.29,12.292,12.526,20.12,2.42,2456444.76501,0.00012,1.57329025,1.5e-07,0.0,6.02,25.8
WASP-65b,low,27,6,08:53:17.8286,+08:31:22.811,12.45,11.76,11.751,17.15,2.75,2456912.75129,0.00019,2.3114217,4e-07,-0.26,5.0,36.4
WASP-66b,medium,4,1,10:32:53.9927,-34:59:23.456,11.6,11.4,11.59,8.26,4.54,2455929.0969,0.0003,4.086052,7e-06,1.2,7.5,23.64
WASP-67b,low,9,0,19:42:58.5217,-19:56:58.523,12.54,11.66,11.914,11.61,1.75,2456618.0537,8e-05,4.6144166,4e-07,-0.4,6.96,20.77
WASP-68b,alert,3,0,20:20:22.9859,-19:18:52.921,10.67,10.181,10.409,7.36,5.14,2456064.8636,0.0006,5.084298,1.5e-05,15.6,6.74,44.85
WASP-69b,low,7,0,21:00:06.1969,-05:05:40.037,9.87,9.22,9.485,20.55,2.24,2457176.17789,0.00017,3.868139,6e-07,-1.9,5.0,142.91
WASP-70Ab,medium,2,0,21:01:54.4800,-13:25:59.710,10.79,11.12,11.032,12.32,3.35,2456319.4479,0.0004,3.7130169,1.2e-06,0.1,5.0,43.3
WASP-71b,alert,1,0,01:57:03.2040,+00:45:31.878,10.56,10.356,10.568,5.66,5.07,2455738.8505,0.0007,2.903675,7e-06,10.0,8.96,30.79
WASP-72b,high,1,0,02:44:09.6097,-30:10:08.561,10.96,10.47,10.838,5.22,3.85,2455583.6529,0.0021,2.216742,8e-06,4.5,10.29,21.43
WASP-73b,medium,0,0,21:19:47.9065,-58:08:55.993,10.47,10.052,10.261,4.24,5.62,2456365.7688,0.0011,4.087286,9e-06,0.0,11.39,28.28
WASP-74b,low,6,0,20:18:09.3209,-01:04:32.610,9.75,9.348,9.572,9.31,2.34,2457205.93774,0.0001,2.1377516,6e-07,2.2,5.74,60.39
WASP-75b,low,10,2,22:49:32.5677,-10:40:31.927,11.46,11.123,11.335,9.92,1.98,2457340.345,0.0003,2.4841987,6e-07,-1.8,6.96,23.57
WASP-76b,low,9,4,01:46:31.8576,+02:42:02.033,9.52,9.196,9.395,15.65,3.79,2457273.4191,0.0005,1.8098806,7e-07,1.7,5.0,127.89
